#                  R                  OH                  OO                 OCl                 HCl                OClO                HClH
               0.006                   0         4617764.249                   0                   0                   0                   0
               0.018                   0                   0                   0                   0                   0                   0
                0.03                   0                   0                   0                   0                   0                   0
               0.042                   0                   0                   0                   0                   0                   0
               0.054                   0                   0                   0                   0                   0                   0
               0.066                   0                   0                   0                   0                   0                   0
               0.078                   0                   0                   0                   0                   0                   0
                0.09                   0                   0                   0                   0                   0                   0
               0.102                   0                   0                   0                   0                   0                   0
               0.114                   0                   0                   0                   0                   0                   0
               0.126                   0                   0                   0                   0                   0                   0
               0.138                   0                   0                   0                   0                   0                   0
                0.15                   0                   0                   0                   0                   0                   0
               0.162                   0                   0                   0                   0                   0                   0
               0.174                   0                   0                   0                   0                   0                   0
               0.186                   0                   0                   0                   0                   0                   0
               0.198                   0                   0                   0                   0                   0                   0
                0.21                   0                   0                   0                   0                   0                   0
               0.222                   0                   0                   0                   0                   0                   0
               0.234                   0                   0                   0                   0                   0                   0
               0.246                   0                   0                   0                   0                   0                   0
               0.258                   0                   0                   0                   0                   0                   0
                0.27                   0                   0                   0                   0                   0                   0
               0.282                   0                   0                   0                   0                   0                   0
               0.294                   0                   0                   0                   0                   0                   0
               0.306                   0                   0                   0                   0                   0                   0
               0.318                   0                   0                   0                   0                   0                   0
                0.33                   0                   0                   0                   0                   0     4.428579501e-06
               0.342                   0                   0                   0                   0                   0                   0
               0.354                   0                   0                   0                   0                   0                   0
               0.366                   0                   0                   0                   0                   0     4.428579501e-06
               0.378                   0                   0                   0                   0                   0     4.428579501e-06
                0.39                   0                   0                   0                   0                   0                   0
               0.402                   0                   0                   0                   0                   0                   0
               0.414                   0                   0                   0                   0                   0                   0
               0.426                   0                   0                   0                   0                   0                   0
               0.438                   0                   0                   0                   0                   0                   0
                0.45                   0                   0                   0                   0                   0                   0
               0.462                   0                   0                   0                   0                   0                   0
               0.474                   0                   0                   0                   0                   0                   0
               0.486                   0                   0                   0                   0                   0                   0
               0.498                   0                   0                   0                   0                   0                   0
                0.51                   0                   0                   0                   0                   0                   0
               0.522                   0                   0                   0                   0                   0                   0
               0.534                   0                   0                   0                   0                   0                   0
               0.546                   0                   0                   0                   0                   0                   0
               0.558                   0                   0                   0                   0                   0     4.428579501e-06
                0.57                   0                   0                   0                   0                   0                   0
               0.582                   0                   0                   0                   0                   0     4.428579501e-06
               0.594                   0                   0                   0                   0                   0     4.428579501e-06
               0.606                   0                   0                   0                   0                   0     8.857159002e-06
               0.618                   0                   0                   0                   0                   0     4.428579501e-06
                0.63                   0                   0                   0                   0                   0     2.214289751e-05
               0.642                   0                   0                   0                   0                   0                   0
               0.654                   0                   0                   0                   0                   0     2.657147701e-05
               0.666                   0                   0                   0                   0                   0     3.100005651e-05
               0.678                   0                   0                   0                   0                   0       1.7714318e-05
                0.69                   0                   0                   0                   0                   0     5.314295401e-05
               0.702                   0                   0                   0                   0                   0     4.428579501e-05
               0.714                   0                   0                   0                   0                   0     6.200011302e-05
               0.726      0.000812593734                   0                   0                   0                   0      1.32857385e-05
               0.738      0.001415490017                   0                   0                   0                   0     5.314295401e-05
                0.75      0.005786799012                   0                   0                   0                   0     4.428579501e-05
               0.762       0.01585901244                   0                   0                   0                   0     7.528585152e-05
               0.774       0.04025078663                   0                   0                   0                   0     7.085727202e-05
               0.786       0.09324495735                   0                   0                   0                   0     8.857159002e-05
               0.798        0.1907431094                   0                   0                   0                   0     0.0001107144875
                0.81        0.3658931121                   0                   0                   0                   0      0.000115143067
               0.822        0.6732411588                   0                   0                   0                   0      0.000132857385
               0.834         1.122175315                   0                   0                   0                   0      0.000150571703
               0.846         1.791260859                   0                   0                   0                   0     0.0001727146005
               0.858         2.700606865                   0                   0                   0                   0     0.0002170003956
                0.87         3.885044792                   0                   0                   0                   0     0.0001904289186
               0.882         5.276499958                   0                   0                   0                   0     0.0002790005086
               0.894         6.838107513                   0                   0                   0                   0     0.0003232863036
               0.906          8.45452642                   0                   0                   0                   0     0.0003720006781
               0.918         10.10956772                   0                   0                   0                   0     0.0004074293141
                0.93         11.63314852                   0                   0                   0                   0     0.0003808578371
               0.942         12.93300481                   0                   0                   0                   0     0.0004340007911
               0.954         13.90837108                   0                   0                   0                   0     0.0005535724377
               0.966         14.47665045                   0                   0                   0                   0     0.0005978582327
               0.978         14.64798485                   0                   0                   0                   0     0.0005314295401
                0.99         14.34551208                   0                   0                   0                   0     0.0005535724377
               1.002         13.80671098                   0                   0                   0                   0     0.0005447152787
               1.014         12.91205249                   0                   0                   0                   0     0.0005934296532
               1.026         11.79356795                   0                   0                   0                   0     0.0005890010737
               1.038          10.6226015                   0                   0                   0                   0     0.0006775726637
                1.05         9.319073658                   0                   0                   0                   0     0.0005314295401
               1.062         8.063137698                   0                   0                   0                   0     0.0005314295401
               1.074         6.810935701                   0                   0                   0                   0     0.0004827151656
               1.086         5.726815691                   0                   0                   0                   0     0.0004782865861
               1.098         4.664293378                   0                   0                   0                   0     0.0003985721551
                1.11         3.818967877                   0                   0                   0                   0     0.0004384293706
               1.122         3.049576428                   0                   0                   0                   0     0.0003808578371
