                  #X                OClO                HClH
               0.225            0.308223            0.321025
               0.675                   0                   0
               1.125                   0                   0
               1.575                   0                   0
               2.025                   0                   0
               2.475                   0                   0
               2.925                   0                   0
               3.375                   0                   0
               3.825                   0                   0
               4.275                   0                   0
               4.725                   0                   0
               5.175                   0                   0
               5.625                   0                   0
               6.075                   0                   0
               6.525                   0                   0
               6.975                   0                   0
               7.425                   0                   0
               7.875                   0                   0
               8.325                   0                   0
               8.775                   0                   0
               9.225                   0                   0
               9.675                   0                   0
              10.125                   0                   0
              10.575                   0                   0
              11.025                   0                   0
              11.475                   0                   0
              11.925                   0                   0
              12.375                   0                   0
              12.825                   0                   0
              13.275                   0                   0
              13.725                   0                   0
              14.175                   0                   0
              14.625                   0                   0
              15.075                   0                   0
              15.525                   0                   0
              15.975                   0                   0
              16.425                   0         0.000119097
              16.875                   0                   0
              17.325                   0                   0
              17.775                   0         5.95483e-05
              18.225                   0                   0
              18.675                   0                   0
              19.125                   0         5.95483e-05
              19.575                   0                   0
              20.025                   0                   0
              20.475                   0         5.95483e-05
              20.925                   0         5.95483e-05
              21.375                   0         5.95483e-05
              21.825                   0                   0
              22.275                   0         0.000119097
              22.725                   0         0.000178645
              23.175                   0         0.000178645
              23.625                   0         0.000238193
              24.075                   0         0.000297741
              24.525                   0          0.00035729
              24.975                   0         0.000416838
              25.425                   0         0.000535934
              25.875                   0         0.000178645
              26.325                   0         0.000119097
              26.775                   0         0.000416838
              27.225                   0         0.000535934
              27.675                   0         0.000535934
              28.125                   0         0.000655031
              28.575                   0         0.000297741
              29.025                   0         0.000833676
              29.475                   0         0.000476386
              29.925                   0         0.000655031
              30.375                   0         0.000714579
              30.825                   0         0.000774127
              31.275                   0         0.000714579
              31.725                   0         0.000774127
              32.175                   0         0.000476386
              32.625                   0         0.000476386
              33.075                   0         0.000535934
              33.525                   0         0.000416838
              33.975                   0         0.000238193
              34.425                   0         0.000119097
              34.875                   0         0.000416838
              35.325                   0         0.000476386
              35.775                   0         0.000238193
              36.225                   0         0.000238193
              36.675                   0         0.000119097
              37.125                   0         0.000119097
              37.575                   0         0.000297741
              38.025                   0         0.000119097
              38.475                   0         0.000297741
              38.925                   0         0.000238193
              39.375                   0         0.000119097
              39.825                   0         0.000238193
              40.275         0.000108396         0.000416838
              40.725         0.000108396         0.000238193
              41.175         0.000162594         0.000119097
              41.625         0.000541979          0.00035729
              42.075         0.000162594         5.95483e-05
              42.525         0.000596177         0.000595483
              42.975         0.000541979         0.000238193
              43.425         0.000921364          0.00035729
              43.875          0.00140915         0.000476386
              44.325          0.00146334         0.000595483
              44.775          0.00270989         0.000595483
              45.225          0.00205952         0.000416838
              45.675          0.00276409         0.000297741
              46.125          0.00222211         0.000655031
              46.575          0.00281829          0.00119097
              47.025          0.00270989          0.00119097
              47.475          0.00238471         0.000952772
              47.925          0.00195112          0.00101232
              48.375          0.00151754           0.0016078
              48.825           0.0026557          0.00125051
              49.275          0.00200532          0.00196509
              49.725          0.00222211           0.0016078
              50.175          0.00308928           0.0017269
              50.625          0.00276409          0.00154825
              51.075          0.00205952          0.00178645
              51.525          0.00238471          0.00136961
              51.975          0.00243891          0.00220329
              52.425          0.00233051          0.00256058
              52.875          0.00205952          0.00267967
              53.325          0.00227631          0.00208419
              53.775          0.00211372          0.00303696
              54.225           0.0026557          0.00226283
              54.675          0.00319768           0.0034538
              55.125          0.00195112          0.00285832
              55.575          0.00195112           0.0034538
              56.025          0.00211372          0.00339425
              56.475           0.0026015          0.00339425
              56.925          0.00298088          0.00404928
              57.375          0.00336027          0.00452567
              57.825          0.00287249          0.00404928
              58.275          0.00319768          0.00524025
              58.725          0.00460682          0.00547844
              59.175          0.00449843          0.00446612
              59.625          0.00552819          0.00565709
              60.075          0.00569078          0.00500205
              60.525          0.00569078          0.00589528
              60.975          0.00709992          0.00649076
              61.425          0.00688313          0.00607392
              61.875          0.00617856           0.0067885
              62.325           0.0077503          0.00619302
              62.775          0.00845487          0.00809856
              63.225          0.00753351          0.00672895
              63.675          0.00834648          0.00809856
              64.125          0.00840067           0.0087536
              64.575          0.00937624          0.00797947
              65.025          0.00926784           0.0107187
              65.475          0.00948463          0.00922998
              65.925          0.00943043          0.00911088
              66.375          0.00850907          0.00893224
              66.825           0.0113274          0.00934908
              67.275           0.0121945          0.00940863
              67.725           0.0121945           0.0111951
              68.175           0.0121945          0.00964682
              68.625           0.0133869           0.0100637
              69.075           0.0119235           0.0104805
              69.525           0.0122487           0.0105996
              69.975           0.0116525            0.011731
              70.425           0.0107854           0.0105996
              70.875           0.0114358           0.0102423
              71.325           0.0124113           0.0108378
              71.775           0.0107854           0.0120883
              72.225           0.0125739           0.0110164
              72.675           0.0112732           0.0105996
              73.125           0.0124655           0.0111951
              73.575           0.0113816           0.0117906
              74.025           0.0138205          0.00982546
              74.475           0.0125197           0.0122074
              74.925            0.010948            0.012386
              75.375           0.0130617           0.0122669
              75.825           0.0139289           0.0107782
              76.275           0.0124655          0.00964682
              76.725           0.0110564           0.0112546
              77.175           0.0128991          0.00928953
              77.625             0.01149           0.0104805
              78.075           0.0115442          0.00887269
              78.525          0.00991822           0.0105996
              78.975           0.0102434           0.0110164
              79.425          0.00943043           0.0104805
              79.875          0.00937624          0.00893224
              80.325          0.00747931           0.0115524
              80.775          0.00894265          0.00899179
              81.225          0.00834648           0.0112546
              81.675          0.00845487           0.0103019
              82.125          0.00753351           0.0107187
              82.575            0.010406           0.0100637
              83.025          0.00867166           0.0106591
              83.475          0.00699153          0.00994456
              83.925          0.00867166          0.00893224
              84.375           0.0078587          0.00976592
              84.825          0.00650375           0.0103019
              85.275          0.00661214          0.00946817
              85.725          0.00796709          0.00791992
              86.175          0.00791289          0.00922998
              86.625          0.00823808          0.00696715
              87.075          0.00899685          0.00970637
              87.525          0.00796709          0.00922998
              87.975          0.00905105          0.00857495
              88.425          0.00943043          0.00994456
              88.875          0.00921364           0.0067885
              89.325          0.00840067          0.00684805
              89.775          0.00829228          0.00839631
              90.225          0.00856327          0.00821766
              90.675           0.0078045          0.00732444
              91.125          0.00921364          0.00928953
              91.575          0.00899685          0.00839631
              92.025          0.00845487          0.00684805
              92.475          0.00720832           0.0067885
              92.925          0.00915944          0.00619302
              93.375          0.00699153          0.00714579
              93.825          0.00742511          0.00696715
              94.275           0.0078045          0.00786037
              94.725          0.00644955          0.00649076
              95.175           0.0076961          0.00672895
              95.625          0.00726252          0.00786037
              96.075          0.00747931          0.00696715
              96.525           0.0078587          0.00732444
              96.975          0.00639535          0.00696715
              97.425          0.00829228          0.00637166
              97.875          0.00661214          0.00726489
              98.325          0.00650375          0.00809856
              98.775          0.00818388          0.00726489
              99.225          0.00655795          0.00762218
              99.675          0.00747931          0.00744353
             100.125           0.0076961          0.00756263
             100.575          0.00623276          0.00684805
             101.025           0.0077503          0.00732444
             101.475          0.00672054           0.0085154
             101.925          0.00693733          0.00821766
             102.375          0.00682894           0.0085154
             102.825          0.00661214          0.00786037
             103.275          0.00731672          0.00905134
             103.725          0.00812968          0.00762218
             104.175           0.0077503          0.00809856
             104.625          0.00850907          0.00887269
             105.075          0.00910525          0.00976592
             105.525          0.00812968          0.00845585
