#              angle               total                nH:2                nH:3                nH:4                nH:5                nH:6                nH:7                nH:8                nH:9                nH:10
#         Num count:             6680786                  14               32106              595440             3118820             2639070              281064               13552                 720                   0
                0.18                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                0.54                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                 0.9                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                1.26                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                1.62                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                1.98                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                2.34                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                 2.7                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                3.06                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                3.42                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                3.78                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                4.14                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                 4.5                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                4.86                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                5.22                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                5.58                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                5.94                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                 6.3                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                6.66                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                7.02                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                7.38                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                7.74                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                 8.1                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                8.46                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                8.82                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                9.18                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                9.54                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
                 9.9                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
               10.26                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
               10.62                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
               10.98     8.315721467e-07                   0                   0                   0                   0                   0     1.976615844e-05                   0                   0                 nan
               11.34      2.49471644e-06                   0                   0                   0                   0     4.210237361e-06     1.976615844e-05                   0                   0                 nan
                11.7     1.663144293e-06                   0                   0                   0                   0     4.210237361e-06                   0                   0                   0                 nan
               12.06      2.49471644e-06                   0                   0                   0                   0     4.210237361e-06     1.976615844e-05                   0                   0                 nan
               12.42     1.663144293e-06                   0                   0                   0                   0     4.210237361e-06                   0                   0                   0                 nan
               12.78                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
               13.14     1.663144293e-06                   0                   0      9.33016854e-06                   0                   0     1.976615844e-05                   0                   0                 nan
                13.5     3.326288587e-06                   0                   0                   0                   0     8.420474721e-06                   0                   0                   0                 nan
               13.86                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
               14.22     3.326288587e-06                   0                   0                   0     1.781300478e-06     6.315356041e-06                   0                   0                   0                 nan
               14.58                   0                   0                   0                   0                   0                   0                   0                   0                   0                 nan
               14.94     4.157860733e-06                   0                   0                   0     1.781300478e-06     4.210237361e-06     3.953231688e-05                   0                   0                 nan
                15.3     9.147293614e-06                   0                   0      9.33016854e-06     3.562600955e-06     1.473583076e-05     1.976615844e-05                   0                   0                 nan
               15.66     6.652577173e-06                   0                   0     1.866033708e-05     3.562600955e-06     4.210237361e-06     3.953231688e-05                   0                   0                 nan
               16.02      4.98943288e-06                   0                   0                   0     3.562600955e-06     6.315356041e-06     1.976615844e-05                   0                   0                 nan
               16.38      7.48414932e-06                   0                   0     1.866033708e-05      7.12520191e-06      2.10511868e-06     3.953231688e-05                   0                   0                 nan
               16.74      9.97886576e-06                   0                   0                   0      7.12520191e-06     1.684094944e-05                   0                   0                   0                 nan
                17.1      9.97886576e-06                   0                   0                   0     1.246910334e-05      1.05255934e-05                   0                   0                   0                 nan
               17.46     1.579987079e-05                   0                   0      4.66508427e-05     1.246910334e-05      1.05255934e-05     3.953231688e-05                   0                   0                 nan
               17.82     1.912615937e-05                   0                   0     2.799050562e-05     1.068780287e-05     2.315630548e-05     5.929847532e-05                   0                   0                 nan
               18.18     3.409445801e-05                   0                   0     3.732067416e-05     1.781300478e-05     4.631261097e-05      9.88307922e-05                   0                   0                 nan
               18.54     2.661030869e-05                   0                   0      9.33016854e-06     1.068780287e-05     4.631261097e-05     5.929847532e-05                   0                   0                 nan
                18.9     3.076816943e-05                   0                   0     2.799050562e-05     1.781300478e-05     4.420749229e-05     5.929847532e-05                   0                   0                 nan
               19.26     4.407332377e-05                   0                   0     2.799050562e-05     2.671950716e-05     5.052284833e-05     0.0002174277428                   0                   0                 nan
               19.62      4.98943288e-05                   0                   0                   0     1.959430525e-05     7.578427249e-05     0.0002569600597                   0                   0                 nan
               19.98     5.405218953e-05                   0                   0      9.33016854e-06     3.562600955e-05     7.157403513e-05     0.0001976615844                   0                   0                 nan
               20.34     6.569419959e-05                   0                   0      9.33016854e-06     3.918861051e-05     9.262522193e-05     0.0002371939013                   0                   0                 nan
                20.7     7.317834891e-05                   0                   0      9.33016854e-06     4.096991098e-05     0.0001115712901     0.0002174277428                   0                   0                 nan
               21.06     9.230450828e-05                   0                   0      9.33016854e-06     5.522031481e-05     0.0001305173582     0.0003360246935                   0                   0                 nan
               21.42     9.895708546e-05                   0                   0     1.866033708e-05     8.015852149e-05     0.0001199917648     0.0002964923766                   0                   0                 nan
               21.78     0.0001222411056                   0                   0      4.66508427e-05     6.768941815e-05     0.0001705146131     0.0004150893272     0.0008198871835                   0                 nan
               22.14     0.0001430304092                   0                   0     2.799050562e-05     9.262762484e-05     0.0002063016307     0.0003755570103                   0                   0                 nan
                22.5     0.0001579987079                   0                   0     3.732067416e-05     0.0001015341272     0.0002147221054     0.0005139201194     0.0004099435918                   0                 nan
               22.86      0.000181282728                   0                   0     8.397151686e-05     0.0001015341272     0.0002462988856     0.0006720493869     0.0004099435918                   0                 nan
               23.22     0.0001804511558                   0                   0     0.0001026318539     9.975282675e-05     0.0002526142416     0.0005929847532                   0                   0                 nan
               23.58     0.0002137140417                   0                   0     5.598101124e-05      0.000122909733     0.0003010319713     0.0007313478623     0.0008198871835                   0                 nan
               23.94     0.0002045667481                   0                   0     1.866033708e-05     0.0001389414373     0.0002694551911     0.0007511140207                   0                   0                 nan
                24.3     0.0002652715148                   0                   0     6.531117978e-05     0.0001638796439     0.0003452394636      0.001087138714     0.0004099435918                   0                 nan
               24.66     0.0002977028285                   0                   0     2.799050562e-05     0.0002280064611     0.0003873418372     0.0008499448129                   0                   0                 nan
               25.02     0.0003226499929                   0                   0     7.464134832e-05     0.0002155373578     0.0004126032613      0.001185969506      0.001229830775                   0                 nan
               25.38     0.0003234815651                   0                   0     5.598101124e-05     0.0002173186583     0.0003936571932      0.001403397249      0.001229830775                   0                 nan
               25.74     0.0003949967697                   0                   0     6.531117978e-05     0.0002440381654     0.0005304899074      0.001462695725      0.002049717959                   0                 nan
                26.1      0.000408301924                   0                   0     7.464134832e-05     0.0002689763721      0.000519964314      0.001561526517      0.002459661551                   0                 nan
               26.46     0.0004182807898                   0                   0     6.531117978e-05     0.0002458194659      0.000566276925      0.001680123467      0.001639774367                   0                 nan
               26.82     0.0004881328501                   0                   0     0.0001772732023     0.0002671950716     0.0005915383492      0.002451003646      0.005329266693                   0                 nan
               27.18     0.0004897959944                   0                   0     5.598101124e-05     0.0002867893769      0.000625220248      0.002332406696      0.002869605142                   0                 nan
               27.54     0.0005097537259                   0                   0     8.397151686e-05     0.0003188527855      0.000625220248      0.002273108221      0.004509379509       0.01543209877                 nan
                27.9     0.0005646374876                   0                   0     3.732067416e-05     0.0002867893769     0.0007073198766      0.003300948459      0.004099435918      0.007716049383                 nan
               28.26      0.000561311199                   0                   0     6.531117978e-05     0.0002885706774     0.0007052147579      0.003142819192      0.004919323101                   0                 nan
               28.62     0.0007109941854                   0                   0      9.33016854e-05     0.0003758544008     0.0007957348611      0.004822942659      0.004509379509      0.007716049383                 nan
               28.98     0.0007317834891                   0                   0     6.531117978e-05     0.0003473535931       0.00082941676      0.005356628937      0.004919323101      0.007716049383                 nan
               29.34     0.0007617200864                   0                   0      9.33016854e-05     0.0003972300065     0.0009073061512      0.004704345709      0.004919323101       0.01543209877                 nan
                29.7     0.0007442570713                   0                   0     6.531117978e-05     0.0003829796027     0.0008188911666      0.005218265828       0.00696904106       0.02314814815                 nan
               30.06     0.0007384360663                   0                   0     2.799050562e-05     0.0003722917998     0.0007999450985       0.00557405668      0.004919323101       0.01543209877                 nan
               30.42     0.0007193099069                   0                   0      4.66508427e-05     0.0003117275836     0.0007915246238      0.005653121314      0.007788928243       0.03086419753                 nan
               30.78     0.0007259624841                   0                   0     2.799050562e-05      0.000317071485       0.00082941676      0.005514758205       0.00696904106       0.01543209877                 nan
               31.14     0.0007301203448                   0                   0     1.866033708e-05     0.0003295405884     0.0007473171315      0.006305404542      0.006559097468      0.007716049383                 nan
                31.5     0.0007151520461                   0                   0      4.66508427e-05      0.000317071485     0.0006862686898      0.006760026186      0.003279548734      0.007716049383                 nan
               31.86     0.0006694155781                   0                   0     2.799050562e-05     0.0002885706774     0.0007031096392      0.005751952106      0.005329266693       0.01543209877                 nan
               32.22      0.000629500115                   0                   0     3.732067416e-05     0.0002832267759     0.0005915383492       0.00583101674      0.006149153876       0.02314814815                 nan
               32.58      0.000595405657                   0                   0     1.866033708e-05     0.0002529446678     0.0005936434678      0.005376395095      0.007378984652                   0                 nan
               32.94     0.0004972801437                   0                   0     1.866033708e-05      0.000238694264     0.0004420749229      0.004546216441      0.009018759019                   0                 nan
                33.3     0.0004432279542                   0                   0     2.799050562e-05     0.0002084121559     0.0004399698042      0.003814868579      0.004509379509                   0                 nan
               33.66     0.0004091334962                   0                   0      9.33016854e-06     0.0001514105406     0.0004378646855      0.003577674677       0.00696904106                   0                 nan
               34.02     0.0003933336254                   0                   0                   0     0.0001674422449     0.0004273390921      0.003261416142      0.004509379509                   0                 nan
               34.38      0.000289387107                   0                   0      9.33016854e-06     0.0001175658315     0.0002968217339      0.002451003646      0.006559097468                   0                 nan
               34.74     0.0002810713856                   0                   0      9.33016854e-06      0.000122909733     0.0003347138702      0.002075446636      0.001639774367                   0                 nan
                35.1     0.0002752503806                   0                   0      9.33016854e-06     9.084632436e-05     0.0003494497009      0.002055680478      0.003689492326                   0                 nan
               35.46     0.0002178719024                   0                   0                   0     6.768941815e-05     0.0002947166152      0.001541760358      0.002459661551                   0                 nan
               35.82     0.0002103877531                   0                   0                   0     5.700161528e-05     0.0003052422086      0.001324332615      0.003689492326                   0                 nan
               36.18     0.0001746301508                   0                   0                   0     3.740731003e-05     0.0002652449537      0.001205735665     0.0008198871835                   0                 nan
               36.54     0.0001779564394                   0                   0                   0     5.165771385e-05     0.0002884012592     0.0008894771298      0.001229830775                   0                 nan
                36.9     0.0001846090166                   0                   0                   0     4.631381242e-05     0.0003010319713     0.0009290094466      0.002459661551                   0                 nan
               37.26     0.0001621565686                   0                   0                   0     4.275121146e-05     0.0002778756658     0.0007708801791                   0                   0                 nan
               37.62     0.0001488514143                   0                   0                   0     4.096991098e-05      0.000250509123     0.0007115817038     0.0004099435918                   0                 nan
               37.98      0.000175461723                   0                   0                   0     4.631381242e-05     0.0003389241075     0.0004743878025                   0                   0                 nan
               38.34      0.000175461723                   0                   0                   0     3.918861051e-05     0.0003220831581     0.0006918155454     0.0004099435918                   0                 nan
                38.7      0.000249471644                   0                   0                   0     7.659592054e-05     0.0004547056349     0.0007906463376     0.0004099435918                   0                 nan
               39.06     0.0002236929075                   0                   0                   0     4.987641337e-05     0.0004189186174     0.0007906463376     0.0008198871835                   0                 nan
               39.42     0.0002685978034                   0                   0                   0     6.768941815e-05     0.0005010182459     0.0009092432882     0.0004099435918                   0                 nan
               39.78     0.0002536295047                   0                   0     1.866033708e-05     7.303331958e-05     0.0004504953976     0.0008894771298      0.001229830775                   0                 nan
               40.14     0.0002927133956                   0                   0                   0     9.440892531e-05     0.0004904926525      0.001245267982      0.001229830775                   0                 nan
                40.5     0.0003151658436                   0                   0     1.866033708e-05     0.0001122219301      0.000513648958      0.001245267982      0.002869605142                   0                 nan
               40.86     0.0003384498637                   0                   0     3.732067416e-05     0.0001068780287     0.0005915383492      0.001185969506     0.0008198871835                   0                 nan
               41.22     0.0003949967697                   0      0.000346075846     7.464134832e-05     0.0001852552497     0.0005978537052      0.001344098774      0.003689492326                   0                 nan
               41.58     0.0004224386505                   0      0.000519113769     7.464134832e-05     0.0001460666392     0.0006967942832        0.0015219942      0.002869605142                   0                 nan
