#                PTC                  CN               Count
             -3.4965                   0                   0
             -3.4965                   1                   0
             -3.4965                   2                   0
             -3.4965                   3                   0
             -3.4965                   4                   0
             -3.4965                   5                   0
             -3.4965                   6                   0
             -3.4965                   7                   0
             -3.4965                   8                   0
             -3.4965                   9                   0
             -3.4965                  10                   0
             -3.4965                  11                   0
             -3.4965                  12                   0
             -3.4965                  13                   0
             -3.4965                  14                   0
             -3.4895                   0                   0
             -3.4895                   1                   0
             -3.4895                   2                   0
             -3.4895                   3                   0
             -3.4895                   4                   0
             -3.4895                   5                   0
             -3.4895                   6                   0
             -3.4895                   7                   0
             -3.4895                   8                   0
             -3.4895                   9                   0
             -3.4895                  10                   0
             -3.4895                  11                   0
             -3.4895                  12                   0
             -3.4895                  13                   0
             -3.4895                  14                   0
             -3.4825                   0                   0
             -3.4825                   1                   0
             -3.4825                   2                   0
             -3.4825                   3                   0
             -3.4825                   4                   0
             -3.4825                   5                   0
             -3.4825                   6                   0
             -3.4825                   7                   0
             -3.4825                   8                   0
             -3.4825                   9                   0
             -3.4825                  10                   0
             -3.4825                  11                   0
             -3.4825                  12                   0
             -3.4825                  13                   0
             -3.4825                  14                   0
             -3.4755                   0                   0
             -3.4755                   1                   0
             -3.4755                   2                   0
             -3.4755                   3                   0
             -3.4755                   4                   0
             -3.4755                   5                   0
             -3.4755                   6                   0
             -3.4755                   7                   0
             -3.4755                   8                   0
             -3.4755                   9                   0
             -3.4755                  10                   0
             -3.4755                  11                   0
             -3.4755                  12                   0
             -3.4755                  13                   0
             -3.4755                  14                   0
             -3.4685                   0                   0
             -3.4685                   1                   0
             -3.4685                   2                   0
             -3.4685                   3                   0
             -3.4685                   4                   0
             -3.4685                   5                   0
             -3.4685                   6                   0
             -3.4685                   7                   0
             -3.4685                   8                   0
             -3.4685                   9                   0
             -3.4685                  10                   0
             -3.4685                  11                   0
             -3.4685                  12                   0
             -3.4685                  13                   0
             -3.4685                  14                   0
             -3.4615                   0                   0
             -3.4615                   1                   0
             -3.4615                   2                   0
             -3.4615                   3                   0
             -3.4615                   4                   0
             -3.4615                   5                   0
             -3.4615                   6                   0
             -3.4615                   7                   0
             -3.4615                   8                   0
             -3.4615                   9                   0
             -3.4615                  10                   0
             -3.4615                  11                   0
             -3.4615                  12                   0
             -3.4615                  13                   0
             -3.4615                  14                   0
             -3.4545                   0                   0
             -3.4545                   1                   0
             -3.4545                   2                   0
             -3.4545                   3                   0
             -3.4545                   4                   0
             -3.4545                   5                   0
             -3.4545                   6                   0
             -3.4545                   7                   0
             -3.4545                   8                   0
             -3.4545                   9                   0
             -3.4545                  10                   0
             -3.4545                  11                   0
             -3.4545                  12                   0
             -3.4545                  13                   0
             -3.4545                  14                   0
             -3.4475                   0                   0
             -3.4475                   1                   0
             -3.4475                   2                   0
             -3.4475                   3                   0
             -3.4475                   4                   0
             -3.4475                   5                   0
             -3.4475                   6                   0
             -3.4475                   7                   0
             -3.4475                   8                   0
             -3.4475                   9                   0
             -3.4475                  10                   0
             -3.4475                  11                   0
             -3.4475                  12                   0
             -3.4475                  13                   0
             -3.4475                  14                   0
             -3.4405                   0                   0
             -3.4405                   1                   0
             -3.4405                   2                   0
             -3.4405                   3                   0
             -3.4405                   4                   0
