                  #X                  OH                  OO                 OCl                 HCl
               0.006                   0         4226455.093                   0                   0
               0.018                   0                   0                   0                   0
                0.03                   0                   0                   0                   0
               0.042                   0                   0                   0                   0
               0.054                   0                   0                   0                   0
               0.066                   0                   0                   0                   0
               0.078                   0                   0                   0                   0
                0.09                   0                   0                   0                   0
               0.102                   0                   0                   0                   0
               0.114                   0                   0                   0                   0
               0.126                   0                   0                   0                   0
               0.138                   0                   0                   0                   0
                0.15                   0                   0                   0                   0
               0.162                   0                   0                   0                   0
               0.174                   0                   0                   0                   0
               0.186                   0                   0                   0                   0
               0.198                   0                   0                   0                   0
                0.21                   0                   0                   0                   0
               0.222                   0                   0                   0                   0
               0.234                   0                   0                   0                   0
               0.246                   0                   0                   0                   0
               0.258                   0                   0                   0                   0
                0.27                   0                   0                   0                   0
               0.282                   0                   0                   0                   0
               0.294                   0                   0                   0                   0
               0.306                   0                   0                   0                   0
               0.318                   0                   0                   0                   0
                0.33                   0                   0                   0                   0
               0.342                   0                   0                   0                   0
               0.354                   0                   0                   0                   0
               0.366                   0                   0                   0                   0
               0.378                   0                   0                   0                   0
                0.39                   0                   0                   0                   0
               0.402                   0                   0                   0                   0
               0.414                   0                   0                   0                   0
               0.426                   0                   0                   0                   0
               0.438                   0                   0                   0                   0
                0.45                   0                   0                   0                   0
               0.462                   0                   0                   0                   0
               0.474                   0                   0                   0                   0
               0.486                   0                   0                   0                   0
               0.498                   0                   0                   0                   0
                0.51                   0                   0                   0                   0
               0.522                   0                   0                   0                   0
               0.534                   0                   0                   0                   0
               0.546                   0                   0                   0                   0
               0.558                   0                   0                   0                   0
                0.57                   0                   0                   0                   0
               0.582                   0                   0                   0                   0
               0.594                   0                   0                   0                   0
               0.606                   0                   0                   0                   0
               0.618                   0                   0                   0                   0
                0.63                   0                   0                   0                   0
               0.642                   0                   0                   0                   0
               0.654                   0                   0                   0                   0
               0.666                   0                   0                   0                   0
               0.678                   0                   0                   0                   0
                0.69                   0                   0                   0                   0
               0.702                   0                   0                   0                   0
               0.714                   0                   0                   0                   0
               0.726                   0                   0                   0                   0
               0.738                   0                   0                   0                   0
                0.75      0.002028561346                   0                   0                   0
               0.762      0.003930348088                   0                   0                   0
               0.774       0.02571361194                   0                   0                   0
               0.786       0.04802194629                   0                   0                   0
               0.798       0.08959339117                   0                   0                   0
