 119865  5.78778547   
     0.19004717410859E+01    -0.41759321292138E+01     0.71962186436146E+00
     0.63434316223652E+01    -0.94610792280169E+01    -0.42230330622978E+02
     0.60623294370433E+01     0.50921261763793E+01    -0.27252954672846E+02
    -0.75983676408807E+01     0.25249191222035E+01    -0.37126196994877E+02
    -0.58086283014003E+01     0.10332481173370E+02    -0.14524631981328E+02
    -0.11260364665019E+02    -0.48971564480794E+01    -0.77462384199399E+01
    -0.50481785743369E+01     0.17536666350535E+01    -0.19263717911890E+01
     0.67349535038946E+01    -0.30148527488591E+01    -0.32059631426911E+02
    -0.39957963637708E+01     0.51303429023284E+01     0.20354978999666E+01
     0.71424614165897E+00    -0.27185219358312E+01    -0.43849958263354E+02
    -0.15323930342105E+01     0.85565807096296E+01    -0.21294320738989E+02
    -0.70774764159495E+01    -0.42716371983573E+01    -0.13324026245610E+02
     0.87643578120618E+00    -0.79159034836070E+01    -0.42532706600431E+02
    -0.88989450522342E+00    -0.29322750849458E+01    -0.45371643204297E+01
    -0.13498311215714E+01     0.34182276335553E+01    -0.14786118273122E+02
    -0.16684063740971E+01     0.80417631169620E+01    -0.12663655519098E+02
    -0.13095333875846E+02    -0.33398606123806E+01    -0.29134414357943E+02
     0.43579399364223E+01    -0.83128547342288E+01    -0.31655315590379E+02
     0.59263663606258E+01    -0.98243585318538E+01    -0.57714530432135E+01
     0.11434551519580E+02    -0.52250263789704E+01    -0.37568166389085E+02
     0.10379168555151E+02     0.31621468676713E+01    -0.13837774687543E+02
     0.71102588801046E+01    -0.14507757550528E+02    -0.34415963485269E+02
    -0.30218143391020E+01    -0.55424359932679E+01    -0.38785172313883E+02
     0.69209096494063E+01    -0.14716592004492E+02    -0.64159246664508E+01
     0.25695951398617E+01     0.12343440011970E+00    -0.14704552437589E+02
     0.76160490324961E+01     0.62857116608445E+01    -0.18535001576631E+01
    -0.14158847317181E+01     0.11699571446765E+01    -0.10208435483120E+02
     0.53857580385631E+01     0.10684039418312E+02    -0.22818121956094E+02
     0.72343024531462E+00    -0.26384795044172E+01    -0.36277280718291E+02
     0.42308637612832E+01     0.85986866503552E+01    -0.41721822374166E+02
     0.99749967133026E+01     0.94933238156678E+01    -0.24708018079216E+02
    -0.11882355555354E+02     0.17352939422127E+01    -0.22514065309386E+02
    -0.64577931729396E+01     0.11157910336274E+02    -0.19486325113485E+02
    -0.85202793101663E+01     0.31971968579219E+01    -0.28904624177794E+02
     0.11397587509533E+02     0.10339170638072E+02    -0.36685400782780E+02
