index of O	 index of H	 index of H ....
snapshot :119870
0    0    1
1    2    3
2    4    5
3    6    7
4    8    9
5    10    11
6    12    13
7    14    15
8    16    17
9    18    19
10    20    21
11    22    23
12    24    25
13    26    27
14    28    29
15    30    31
16    32    33
17    34    35
18    36    37
19    38    39
20    40    41
21    42    43
22    44    45
23    46    47
24    48    49
25    50    51
26    52    53
27    54    55
28    56    57
29    58    59
30    60    61
31    62    63
32    64    65
33    66    67
34    68    69
35    70    71
36    72    73
37    74    75
38    76    77
39    78    79
40    80    81
41    82    83
42    84    85
43    86    87
44    88    89
45    90    91
46    92    93
47    94    95
48    96    97
49    98    99
50    100    101
51    102    103
52    104    105
53    106    107
54    108    109
55    110    111
56    112    113
57    114    115
58    116    117
59    118    119
60    120    121
61    122    123
62    124    125
63    126    127
64    128    129
65    130    131
66    132    133
67    134    135
68    136    137
69    138    139
70    140    141
71    142    143
72    144    145
73    146    147
74    148    149
75    150    151
76    152    153
77    154    155
78    156    157
79    158    159
80    160    161
81    162    163
82    164    165
83    166    167
84    168    169
85    170    171
86    172    173
87    174    175
88    176    177
89    178    179
90    180    181
91    182    183
92    184    185
93    186    187
94    188    189
95    190    191
96    192    193
97    194    195
98    196    197
99    198    199
100    200    201
101    202    203
102    204    205
103    206    207
104    208    209
105    210    211
106    212    213
107    214    215
108    216    217
109    218    219
110    220    221
111    222    223
112    224    225
113    226    227
114    228    229
115    230    231
116    232    233
117    234    235
118    236    237
119    238    239
120    240    241
121    242    243
122    244    245
123    246    247
124    248    249
125    250    251
126    252    253
127    254    255
0    0    128    0    0    0    0    0    
snapshot :119875
0    0    1
1    2    3
2    4    5
3    6    7
4    8    9
5    10    11
6    12    13
7    14    15
8    16    17
9    18    19
10    20    21
11    22    23
12    24    25
13    26    27
14    28    29
15    30    31
16    32    33
17    34    35
18    36    37
19    38    39
20    40    41
21    42    43
22    44    45
23    46    47
24    48    49
25    50    51
26    52    53
27    54    55
28    56    57
29    58    59
30    60    61
31    62    63
32    64    65
33    66    67
34    68    69
35    70    71
36    72    73
37    74    75
38    76    77
39    78    79
40    80    81
41    82    83
42    84    85
43    86    87
44    88    89
45    90    91
46    92    93
47    94    95
48    96    97
49    98    99
50    100    101
51    102    103
52    104    105
53    106    107
54    108    109
55    110    111
56    112    113
57    114    115
58    116    117
59    118    119
60    120    121
61    122    123
62    124    125
63    126    127
64    128    129
65    130    131
66    132    133
67    134    135
68    136    137
69    138    139
70    140    141
71    142    143
72    144    145
73    146    147
74    148    149
75    150    151
76    152    153
77    154    155
78    156    157
79    158    159
80    160    161
81    162    163
82    164    165
83    166    167
84    168    169
85    170    171
86    172    173
87    174    175
88    176    177
89    178    179
90    180    181
91    182    183
92    184    185
93    186    187
94    188    189
95    190    191
96    192    193
97    194    195
98    196    197
99    198    199
100    200    201
101    202    203
102    204    205
103    206    207
104    208    209
105    210    211
106    212    213
107    214    215
108    216    217
109    218    219
110    220    221
111    222    223
112    224    225
113    226    227
114    228    229
115    230    231
116    232    233
117    234    235
118    236    237
119    238    239
120    240    241
121    242    243
122    244    245
123    246    247
124    248    249
125    250    251
126    252    253
127    254    255
0    0    128    0    0    0    0    0    
snapshot :119880
0    0    1
1    2    3
2    4    5
3    6    7
4    8    9
5    10    11
6    12    13
7    14    15
8    16    17
9    18    19
10    20    21
11    22    23
12    24    25
13    26    27
14    28    29
15    30    31
16    32    33
17    34    35
18    36    37
19    38    39
20    40    41
21    42    43
22    44    45
23    46    47
24    48    49
25    50    51
26    52    53
27    54    55
28    56    57
29    58    59
30    60    61
31    62    63
32    64    65
33    66    67
34    68    69
35    70    71
36    72    73
37    74    75
38    76    77
39    78    79
40    80    81
41    82    83
42    84    85
43    86    87
44    88    89
45    90    91
46    92    93
47    94    95
48    96    97
49    98    99
50    100    101
51    102    103
52    104    105
53    106    107
54    108    109
55    110    111
56    112    113
57    114    115
58    116    117
59    118    119
60    120    121
61    122    123
62    124    125
63    126    127
64    128    129
65    130    131
66    132    133
67    134    135
68    136    137
69    138    139
70    140    141
71    142    143
72    144    145
73    146    147
74    148    149
75    150    151
76    152    153
77    154    155
78    156    157
79    158    159
80    160    161
81    162    163
82    164    165
83    166    167
84    168    169
85    170    171
86    172    173
87    174    175
88    176    177
89    178    179
90    180    181
91    182    183
92    184    185
93    186    187
94    188    189
95    190    191
96    192    193
97    194    195
98    196    197
99    198    199
100    200    201
101    202    203
102    204    205
103    206    207
104    208    209
105    210    211
106    212    213
107    214    215
108    216    217
109    218    219
110    220    221
111    222    223
112    224    225
113    226    227
114    228    229
115    230    231
116    232    233
117    234    235
118    236    237
119    238    239
120    240    241
121    242    243
122    244    245
123    246    247
124    248    249
125    250    251
126    252    253
127    254    255
0    0    128    0    0    0    0    0    
snapshot :119885
0    0    1
1    2    3
2    4    5
3    6    7
4    8    9
5    10    11
6    12    13
7    14    15
8    16    17
9    18    19
10    20    21
11    22    23
12    24    25
13    26    27
14    28    29
15    30    31
16    32    33
17    34    35
18    36    37
19    38    39
20    40    41
21    42    43
22    44    45
23    46    47
24    48    49
25    50    51
26    52    53
27    54    55
28    56    57
29    58    59
30    60    61
31    62    63
32    64    65
33    66    67
34    68    69
35    70    71
36    72    73
37    74    75
38    76    77
39    78    79
40    80    81
41    82    83
42    84    85
43    86    87
44    88    89
45    90    91
46    92    93
47    94    95
48    96    97
49    98    99
50    100    101
51    102    103
52    104    105
53    106    107
54    108    109
55    110    111
56    112    113
57    114    115
58    116    117
59    118    119
60    120    121
61    122    123
62    124    125
63    126    127
64    128    129
65    130    131
66    132    133
67    134    135
68    136    137
69    138    139
70    140    141
71    142    143
72    144    145
73    146    147
74    148    149
75    150    151
76    152    153
77    154    155
78    156    157
79    158    159
80    160    161
81    162    163
82    164    165
83    166    167
84    168    169
85    170    171
86    172    173
87    174    175
88    176    177
89    178    179
90    180    181
91    182    183
92    184    185
93    186    187
94    188    189
95    190    191
96    192    193
97    194    195
98    196    197
99    198    199
100    200    201
101    202    203
102    204    205
103    206    207
104    208    209
105    210    211
106    212    213
107    214    215
108    216    217
109    218    219
110    220    221
111    222    223
112    224    225
113    226    227
114    228    229
115    230    231
116    232    233
117    234    235
118    236    237
119    238    239
120    240    241
121    242    243
122    244    245
123    246    247
124    248    249
125    250    251
126    252    253
127    254    255
0    0    128    0    0    0    0    0    
